userId,movieId,score
12,40,4.5
12,14,1
12,75,3
12,4,4
12,74,1
12,87,3.5
13,88,5
13,77,2
13,16,2.5
13,73,2
13,6,5
13,45,4.5
13,69,2.5
13,55,5
13,85,1
13,48,2.5
13,9,3.5
13,65,3
13,83,4.5
13,44,4
14,56,2.5
14,94,2
14,76,1.5
14,35,4.5
14,42,3
14,32,4.5
14,12,3
14,36,2.5
14,58,5
14,97,1
14,60,2
14,73,3
14,79,1
14,86,2.5
14,49,3.5
14,44,2
14,4,4
14,64,1.5
14,24,2
15,40,3.5
15,85,1.5
15,75,1.5
15,48,4.5
15,61,5
15,71,0.5
15,68,2.5
15,45,4
15,55,1
15,96,5
15,43,2.5
15,46,3.5
16,13,3
16,25,3.5
16,38,0.5
16,30,4.5
16,47,2.5
16,23,4.5
16,39,3
16,2,2.5
16,91,2
16,69,4
16,17,0.5
16,36,4.5
16,6,2.5
16,7,4
17,63,4
17,10,1
17,74,2.5
17,81,2.5
17,88,2
17,7,4.5
17,20,5
17,73,1.5
17,39,3
17,11,5
17,32,3.5
17,16,4.5
17,72,1
17,98,5
17,54,3.5
17,78,1
17,77,4
18,21,1.5
18,1,5
18,53,3.5
18,58,3.5
18,89,2.5
18,77,3.5
18,61,4.5
19,55,4
19,15,3
19,70,4
19,29,4.5
19,83,2
19,20,2.5
19,35,1.5
19,19,2
19,10,1.5
19,8,4.5
19,22,2
20,56,0.5
20,95,5
20,42,4
20,78,3
20,33,5
20,4,5
21,74,3
21,6,2.5
21,98,0.5
21,97,4.5
21,23,1.5
21,61,3.5
21,67,4.5
21,84,4.5
21,57,3.5
21,36,1.5
21,24,4.5
21,75,4
21,56,3
22,12,2.5
22,41,2
22,33,4.5
22,42,1.5
22,15,0.5
22,99,1.5
22,52,4.5
22,66,2.5
22,1,5
22,85,3
22,70,4
22,60,3.5
22,53,1.5
22,7,4
22,25,2
22,67,1
22,47,4
22,80,0.5
22,97,4.5
23,64,1
23,92,3
23,38,2
23,66,4.5
23,91,2.5
23,35,4.5
23,54,4.5
23,62,1.5
23,61,4
24,44,4
24,65,2
24,35,4.5
24,1,4.5
24,37,5
24,93,1
24,39,2
24,76,4.5
24,75,2
24,85,4.5
24,63,2.5
24,20,4.5
24,58,2
24,69,5
24,62,4
24,45,3.5
24,43,1
24,71,5
25,65,0.5
25,76,4.5
25,43,5
25,13,4.5
25,57,4
25,68,1.5
25,59,3
25,2,2
25,93,4.5
26,87,5
26,69,3.5
26,49,2
26,41,0.5
26,81,3
26,92,4.5
26,98,2
26,63,3.5
26,70,4.5
26,5,5
26,80,4
26,9,1.5
26,31,2
26,88,3.5
26,37,2.5
27,22,0.5
27,23,2.5
27,11,1.5
27,79,1.5
27,49,4
27,80,4
27,88,4.5
27,31,3.5
27,64,1
27,75,2
28,76,5
28,39,1.5
28,82,5
28,55,3.5
28,89,1.5
28,33,3
28,59,3.5
28,26,3.5
28,50,5
28,62,3
28,14,2.5
28,31,4.5
28,49,1.5
28,74,4
28,46,3
28,38,4
29,80,4.5
29,33,3
29,87,1.5
29,97,4
29,93,3
29,99,3.5
29,85,0.5
29,88,1.5
29,18,3.5
29,81,1
29,13,0.5
30,68,3.5
30,65,5
30,35,5
30,22,4
30,33,2
30,62,4
30,38,5
30,96,2.5
30,44,2.5
30,15,3.5
30,60,3.5
30,10,3
30,19,4
30,97,4.5
30,29,4.5
30,87,1
31,80,3
31,72,3
31,42,2.5
31,79,3.5
31,29,3
32,18,4.5
32,6,3.5
32,5,2.5
32,39,3.5
32,64,3.5
32,15,4.5
32,13,2
32,31,3.5
33,54,4
33,84,5
33,13,5
33,63,4.5
33,79,0.5
33,53,3.5
33,36,2.5
33,5,5
33,89,2
34,36,0.5
34,25,4
34,16,1
34,59,5
34,12,4.5
34,85,1.5
34,28,0.5
34,83,4.5
34,82,4
34,77,4.5
34,3,0.5
34,7,2.5
34,43,1.5
34,32,1
34,17,3.5
34,73,5
34,27,4
35,76,0.5
35,42,2
35,3,2
35,23,3
35,34,2.5
35,7,4
35,17,3
35,95,3.5
35,54,4.5
35,68,3.5
35,15,1.5
35,96,3
36,8,4.5
36,62,3.5
36,52,2
36,55,4.5
36,88,1.5
37,9,2
37,17,3
37,36,1.5
37,80,2.5
37,82,2
37,75,4
37,71,4.5
37,92,3.5
37,42,4.5
38,56,2
38,58,3.5
38,30,2
38,53,1
38,44,4.5
38,59,0.5
38,52,4
38,54,4.5
38,94,0.5
38,13,3.5
38,41,4
39,76,2
39,72,3.5
39,43,4
39,86,4.5
39,16,3.5
39,53,5
40,46,1.5
40,14,1
40,74,2
40,65,4
40,28,4
40,20,3
40,85,3.5
40,62,3
40,29,3
40,45,3.5
40,72,3.5
40,48,4
40,15,1.5
40,98,4
41,45,2
41,1,2.5
41,24,1
41,19,1.5
41,73,4.5
41,85,4.5
41,52,3
41,9,4.5
41,95,1
41,82,4
41,4,4
41,12,0.5
41,96,2
41,68,2
41,28,3
42,35,0.5
42,28,5
42,97,4.5
42,66,4
42,15,4
42,45,1.5
42,56,0.5
42,37,2.5
42,87,2
42,76,4.5
42,63,2.5
42,68,1
42,86,3
42,40,3.5
42,6,2
42,29,2
42,51,3.5
42,77,2
43,10,4
43,41,5
43,74,3
43,55,2.5
43,52,2
43,91,1.5
43,82,1.5
43,54,1.5
43,38,1
43,15,2.5
43,3,4.5
43,42,2.5
43,22,4.5
43,80,1.5
43,59,3.5
43,89,4
43,47,4
43,12,1
43,56,4.5
44,23,3
44,78,3
44,20,3.5
44,98,4.5
44,84,3
44,10,5
44,99,1.5
44,81,5
44,64,4.5
44,60,2
44,97,2.5
45,36,3
45,76,2.5
45,8,2.5
45,46,5
45,65,4
45,10,4.5
45,40,2
45,60,4
45,58,3.5
45,5,1.5
45,48,2.5
45,37,5
45,83,0.5
45,12,0.5
46,92,4.5
46,11,2
46,65,4
46,83,3.5
46,23,0.5
46,6,3
46,32,1.5
46,91,1.5
46,57,3
46,68,2
46,67,4.5
46,79,4.5
46,21,5
46,47,3
46,48,5
47,75,3.5
47,85,0.5
47,19,3.5
47,45,0.5
47,40,5
47,84,3.9
47,90,1.5
48,86,2
48,90,2
48,95,5
48,88,1
48,68,4.5
48,12,2.5
48,83,4
48,55,0.5
48,66,0.5
49,65,4.5
49,99,3
49,70,3
49,95,5
49,68,4
49,5,3.5
49,85,3
49,44,4.5
50,6,5
50,53,2.5
50,47,4.5
50,87,2
50,93,2.5
50,31,5
50,57,4
50,79,4
50,37,0.5
50,97,1.5
50,96,3
50,58,4.5
50,30,3
50,69,4.5
50,40,4
50,61,4.5
50,25,1.5
50,48,4
50,74,1.5
51,1,4.5
51,15,5
51,30,5
51,45,2.4
51,60,1
51,89,4.1
51,94,2
51,101,5
52,1,5
52,15,4
52,30,5
52,45,1
52,60,2
52,89,4
52,94,1
52,100,5
53,1,0.5
53,30,0
53,101,0
53,102,4
